week,barrels_of_gasoline
05/27/2005,9461
05/20/2005,9443
05/13/2005,9269
05/6/2005,9175
04/29/2005,9024
04/22/2005,9306
04/15/2005,9170
04/8/2005,9089
04/1/2005,9095
03/25/2005,9075
03/18/2005,9069
03/11/2005,9131
03/4/2005,9014
02/25/2005,8884
02/18/2005,8898
02/11/2005,8825
02/4/2005,8837
01/28/2005,8848
01/21/2005,8881
01/14/2005,8695
01/7/2005,8710
12/31/2004,9287
12/24/2004,9329
12/17/2004,9068
12/10/2004,9268
12/3/2004,9107
11/26/2004,9204
11/19/2004,8988
11/12/2004,9237
11/5/2004,9217
10/29/2004,8977
10/22/2004,8883
10/15/2004,9177
10/8/2004,8917
10/1/2004,8915
09/24/2004,8922
09/17/2004,9005
09/10/2004,9234
09/3/2004,9453
08/27/2004,9267
08/20/2004,9424
08/13/2004,9521
08/6/2004,9472
07/30/2004,9263
07/23/2004,9310
07/16/2004,8840
07/9/2004,9300
07/2/2004,9398
06/25/2004,9199
06/18/2004,9194
06/11/2004,9219
06/4/2004,9045
05/28/2004,9259
05/21/2004,9154
05/14/2004,9119
05/7/2004,9373
04/30/2004,8926
04/23/2004,9255
04/16/2004,8973
04/9/2004,9338
04/2/2004,9249
03/26/2004,8731
03/19/2004,8818
03/12/2004,9044
03/5/2004,8968
02/27/2004,8970
02/20/2004,8796
02/13/2004,8727
02/6/2004,8627
01/30/2004,8514
01/23/2004,8543
01/16/2004,8426
01/9/2004,8411
01/2/2004,8686
12/26/2003,8726
12/19/2003,9166
12/12/2003,8930
12/5/2003,8776
11/28/2003,8979
11/21/2003,8725
11/14/2003,9232
11/7/2003,8995
10/31/2003,9316
10/24/2003,9413
10/17/2003,8754
10/10/2003,9156
10/3/2003,9190
09/26/2003,8690
09/19/2003,9166
09/12/2003,8974
09/5/2003,8886
08/29/2003,9337
08/22/2003,9668
08/15/2003,9325
08/8/2003,9381
08/1/2003,9303
07/25/2003,9563
07/18/2003,9177
07/11/2003,8763
07/4/2003,9050
06/27/2003,9476
06/20/2003,8833
06/13/2003,8880
06/6/2003,8529
05/30/2003,8516
05/23/2003,9299
05/16/2003,8992
05/9/2003,8894
05/2/2003,8834
04/25/2003,8358
04/18/2003,8737
04/11/2003,8640
04/4/2003,8458
03/28/2003,8284
03/21/2003,8666
03/14/2003,8596
03/7/2003,9020
02/28/2003,8421
02/21/2003,8619
02/14/2003,8454
02/7/2003,8106
01/31/2003,8551
01/24/2003,8793
01/17/2003,8645
01/10/2003,8335
01/3/2003,8411
12/27/2002,8989
12/20/2002,9063
12/13/2002,8854
12/6/2002,8616
11/29/2002,9060
11/22/2002,8667
11/15/2002,8540
11/8/2002,8759
11/1/2002,9324
10/25/2002,9022
10/18/2002,8653
10/11/2002,9090
10/4/2002,8895
09/27/2002,8582
09/20/2002,8625
09/13/2002,8899
09/6/2002,8844
08/30/2002,9135
08/23/2002,9173
08/16/2002,8939
08/9/2002,9270
08/2/2002,9297
07/26/2002,9093
07/19/2002,9056
07/12/2002,8985
07/5/2002,9004
06/28/2002,9172
06/21/2002,8752
06/14/2002,8771
06/7/2002,9004
05/31/2002,8778
05/24/2002,8685
05/17/2002,9190
05/10/2002,8548
05/3/2002,8521
04/26/2002,8699
04/19/2002,8684
04/12/2002,8840
04/5/2002,8865
03/29/2002,8386
03/22/2002,8621
03/15/2002,8713
03/8/2002,8277
03/1/2002,8782
02/22/2002,8729
02/15/2002,8428
02/8/2002,8117
02/1/2002,8223
01/25/2002,8184
01/18/2002,8049
01/11/2002,8359
01/4/2002,8288
12/28/2001,8860
12/21/2001,8888
12/14/2001,8622
12/7/2001,8327
11/30/2001,8517
11/23/2001,8868
11/16/2001,8612
11/9/2001,8771
11/2/2001,8797
10/26/2001,8702
10/19/2001,8619
10/12/2001,8766
10/5/2001,8500
09/28/2001,8514
09/21/2001,7834
09/14/2001,8969
09/7/2001,8529
08/31/2001,8612
08/24/2001,8943
08/17/2001,9035
08/10/2001,8671
08/3/2001,8959
07/27/2001,9007
07/20/2001,9176
07/13/2001,9095
07/6/2001,8622
06/29/2001,9036
06/22/2001,8921
06/15/2001,8393
06/8/2001,8428
06/1/2001,8809
05/25/2001,8270
05/18/2001,8917
05/11/2001,8275
05/4/2001,8665
04/27/2001,8404
04/20/2001,8708
04/13/2001,8438
04/6/2001,8306
03/30/2001,8507
03/23/2001,8475
03/16/2001,8484
03/9/2001,8425
03/2/2001,8489
02/23/2001,8187
02/16/2001,7850
02/9/2001,8032
02/2/2001,8589
01/26/2001,7338
01/19/2001,7894
01/12/2001,8225
01/5/2001,7825
12/29/2000,8693
12/22/2000,8400
12/15/2000,8475
12/8/2000,8711
12/1/2000,8233
11/24/2000,8063
11/17/2000,8419
11/10/2000,8216
11/3/2000,8780
10/27/2000,8942
10/20/2000,8604
10/13/2000,8663
10/6/2000,8340
09/29/2000,7819
09/22/2000,8153
09/15/2000,8814
09/8/2000,8573
09/1/2000,8644
08/25/2000,8960
08/18/2000,8786
08/11/2000,8813
08/4/2000,8759
07/28/2000,8614
07/21/2000,8361
07/14/2000,8844
07/7/2000,8519
06/30/2000,8620
06/23/2000,8475
06/16/2000,8895
06/9/2000,8403
06/2/2000,8863
05/26/2000,9075
05/19/2000,8408
05/12/2000,8242
05/5/2000,8679
04/28/2000,8302
04/21/2000,8616
04/14/2000,8557
04/7/2000,8655
03/31/2000,7896
03/24/2000,8384
03/17/2000,8201
03/10/2000,8662
03/3/2000,7608
02/25/2000,8072
02/18/2000,8524
02/11/2000,8375
02/4/2000,7642
01/28/2000,8385
01/21/2000,7919
01/14/2000,7543
01/7/2000,7907
12/31/1999,8851
12/24/1999,8590
12/17/1999,8638
12/10/1999,8557
12/3/1999,7670
11/26/1999,8416
11/19/1999,8404
11/12/1999,8416
11/5/1999,8333
10/29/1999,8532
10/22/1999,8521
10/15/1999,8406
10/8/1999,8433
10/1/1999,8557
09/24/1999,8865
09/17/1999,8504
09/10/1999,8593
09/3/1999,8778
08/27/1999,8810
08/20/1999,8415
08/13/1999,8519
08/6/1999,8644
07/30/1999,8537
07/23/1999,8639
07/16/1999,8622
07/9/1999,8679
07/2/1999,9076
06/25/1999,9045
06/18/1999,8522
06/11/1999,8827
06/4/1999,8193
05/28/1999,8401
05/21/1999,8275
05/14/1999,8761
05/7/1999,8059
04/30/1999,7825
04/23/1999,8923
04/16/1999,8066
04/9/1999,7878
04/2/1999,7959
03/26/1999,8337
03/19/1999,8367
03/12/1999,8451
03/5/1999,8273
02/26/1999,8316
02/19/1999,7948
02/12/1999,8756
02/5/1999,7532
01/29/1999,7866
01/22/1999,8186
01/15/1999,7810
01/8/1999,7385
01/1/1999,8519
12/25/1998,8153
12/18/1998,8588
12/11/1998,8314
12/4/1998,8162
11/27/1998,8313
11/20/1998,8381
11/13/1998,7711
11/6/1998,8195
10/30/1998,8360
10/23/1998,8099
10/16/1998,8049
10/9/1998,8797
10/2/1998,8058
09/25/1998,8359
09/18/1998,7873
09/11/1998,8722
09/4/1998,8713
08/28/1998,8607
08/21/1998,8288
08/14/1998,8981
08/7/1998,8317
07/31/1998,8997
07/24/1998,8125
07/17/1998,8749
07/10/1998,8234
07/3/1998,8755
06/26/1998,8644
06/19/1998,8160
06/12/1998,8103
06/5/1998,8312
05/29/1998,8205
05/22/1998,8337
05/15/1998,8524
05/8/1998,7503
05/1/1998,8190
04/24/1998,8118
04/17/1998,8303
04/10/1998,8031
04/3/1998,8992
03/27/1998,7996
03/20/1998,7753
03/13/1998,8103
03/6/1998,7744
02/27/1998,7662
02/20/1998,8005
02/13/1998,8201
02/6/1998,7673
01/30/1998,7670
01/23/1998,7940
01/16/1998,7779
01/9/1998,7673
01/2/1998,7832
12/26/1997,8201
12/19/1997,8151
12/12/1997,7955
12/5/1997,8437
11/28/1997,7578
11/21/1997,8043
11/14/1997,7793
11/7/1997,8025
10/31/1997,8355
10/24/1997,7741
10/17/1997,8315
10/10/1997,8221
10/3/1997,8379
09/26/1997,8140
09/19/1997,7746
09/12/1997,8215
09/5/1997,8053
08/29/1997,8695
08/22/1997,7922
08/15/1997,8539
08/8/1997,8253
08/1/1997,8290
07/25/1997,8600
07/18/1997,8595
07/11/1997,8606
07/4/1997,8489
06/27/1997,8234
06/20/1997,8557
06/13/1997,8009
06/6/1997,7590
05/30/1997,8154
05/23/1997,8088
05/16/1997,8253
05/9/1997,7765
05/2/1997,8224
04/25/1997,7922
04/18/1997,7914
04/11/1997,7791
04/4/1997,8115
03/28/1997,7492
03/21/1997,7729
03/14/1997,8125
03/7/1997,7417
02/28/1997,7779
02/21/1997,8011
02/14/1997,7530
02/7/1997,7013
01/31/1997,7125
01/24/1997,7265
01/17/1997,7408
01/10/1997,7440
01/3/1997,7122
12/27/1996,7740
12/20/1996,8051
12/13/1996,8355
12/6/1996,7706
11/29/1996,7370
11/22/1996,7883
11/15/1996,8073
11/8/1996,7804
11/1/1996,7682
10/25/1996,7991
10/18/1996,7958
10/11/1996,7637
10/4/1996,7935
09/27/1996,7619
09/20/1996,8000
09/13/1996,7537
09/6/1996,7843
08/30/1996,8369
08/23/1996,8364
08/16/1996,7818
08/9/1996,7722
08/2/1996,8279
07/26/1996,8067
07/19/1996,8152
07/12/1996,7968
07/5/1996,8015
06/28/1996,8563
06/21/1996,7956
06/14/1996,7957
06/7/1996,7946
05/31/1996,7836
05/24/1996,8080
05/17/1996,7512
05/10/1996,8267
05/3/1996,7592
04/26/1996,8079
04/19/1996,7433
04/12/1996,7804
04/5/1996,7280
03/29/1996,7568
03/22/1996,7900
03/15/1996,7757
03/8/1996,7877
03/1/1996,7338
02/23/1996,7826
02/16/1996,7868
02/9/1996,7520
02/2/1996,7513
01/26/1996,7393
01/19/1996,6949
01/12/1996,7513
01/5/1996,7958
12/29/1995,7035
12/22/1995,8115
12/15/1995,7489
12/8/1995,7949
12/1/1995,7439
11/24/1995,7840
11/17/1995,8021
11/10/1995,8477
11/3/1995,7449
10/27/1995,8103
10/20/1995,7712
10/13/1995,7879
10/6/1995,8106
09/29/1995,7257
09/22/1995,7821
09/15/1995,8249
09/8/1995,8078
09/1/1995,7825
08/25/1995,8206
08/18/1995,8411
08/11/1995,7628
08/4/1995,8402
07/28/1995,8213
07/21/1995,8483
07/14/1995,7866
07/7/1995,7996
06/30/1995,8238
06/23/1995,8489
06/16/1995,7971
06/9/1995,8055
06/2/1995,8460
05/26/1995,7797
05/19/1995,8183
05/12/1995,8052
05/5/1995,7539
04/28/1995,7731
04/21/1995,8156
04/14/1995,7543
04/7/1995,7588
03/31/1995,8195
03/24/1995,7797
03/17/1995,7834
03/10/1995,7548
03/3/1995,7194
02/24/1995,7670
02/17/1995,7398
02/10/1995,7132
02/3/1995,7267
01/27/1995,6976
01/20/1995,7260
01/13/1995,7534
01/6/1995,7134
12/30/1994,7718
12/23/1994,8278
12/16/1994,7933
12/9/1994,8229
12/2/1994,7593
11/25/1994,7431
11/18/1994,7929
11/11/1994,7377
11/4/1994,7432
10/28/1994,8204
10/21/1994,8143
10/14/1994,7562
10/7/1994,7515
09/30/1994,7733
09/23/1994,7763
09/16/1994,7601
09/9/1994,6955
09/2/1994,8061
08/26/1994,7750
08/19/1994,7836
08/12/1994,8187
08/5/1994,7638
07/29/1994,7581
07/22/1994,7523
07/15/1994,8006
07/8/1994,7562
07/1/1994,7930
06/24/1994,7909
06/17/1994,7650
06/10/1994,7770
06/3/1994,7461
05/27/1994,8028
05/20/1994,7938
05/13/1994,7552
05/6/1994,6824
04/29/1994,7892
04/22/1994,7042
04/15/1994,7720
04/8/1994,7187
04/1/1994,7398
03/25/1994,7481
03/18/1994,7521
03/11/1994,7214
03/4/1994,7286
02/25/1994,7372
02/18/1994,6993
02/11/1994,7487
02/4/1994,6953
01/28/1994,6321
01/21/1994,7157
01/14/1994,7124
01/7/1994,7124
12/31/1993,7567
12/24/1993,7411
12/17/1993,7684
12/10/1993,8074
12/3/1993,7430
11/26/1993,6845
11/19/1993,7992
11/12/1993,7552
11/5/1993,7640
10/29/1993,7788
10/22/1993,7704
10/15/1993,7613
10/8/1993,7276
10/1/1993,7387
09/24/1993,7485
09/17/1993,7478
09/10/1993,7889
09/3/1993,7386
08/27/1993,7629
08/20/1993,8187
08/13/1993,7581
08/6/1993,8033
07/30/1993,7336
07/23/1993,7916
07/16/1993,8113
07/9/1993,7578
07/2/1993,7868
06/25/1993,7804
06/18/1993,7392
06/11/1993,7740
06/4/1993,7018
05/28/1993,7364
05/21/1993,7295
05/14/1993,7649
05/7/1993,7657
04/30/1993,7470
04/23/1993,7392
04/16/1993,7561
04/9/1993,6797
04/2/1993,6964
03/26/1993,7194
03/19/1993,7239
03/12/1993,7100
03/5/1993,7188
02/26/1993,6961
02/19/1993,7325
02/12/1993,6779
02/5/1993,7322
01/29/1993,6603
01/22/1993,7131
01/15/1993,6726
01/8/1993,6852
01/1/1993,7358
12/25/1992,7596
12/18/1992,7400
12/11/1992,7354
12/4/1992,7432
11/27/1992,7138
11/20/1992,7240
11/13/1992,7056
11/6/1992,6923
10/30/1992,7509
10/23/1992,7276
10/16/1992,7204
10/9/1992,7514
10/2/1992,7293
09/25/1992,7286
09/18/1992,7181
09/11/1992,7473
09/4/1992,7326
08/28/1992,7814
08/21/1992,7365
08/14/1992,7700
08/7/1992,7796
07/31/1992,7433
07/24/1992,7792
07/17/1992,7422
07/10/1992,7813
07/3/1992,7572
06/26/1992,7701
06/19/1992,7407
06/12/1992,7129
06/5/1992,7104
05/29/1992,7774
05/22/1992,7086
05/15/1992,7174
05/8/1992,7318
05/1/1992,7899
04/24/1992,7376
04/17/1992,6464
04/10/1992,7744
04/3/1992,7027
03/27/1992,7379
03/20/1992,7221
03/13/1992,6806
03/6/1992,7002
02/28/1992,6770
02/21/1992,7002
02/14/1992,6576
02/7/1992,7039
01/31/1992,7112
01/24/1992,7037
01/17/1992,6783
01/10/1992,6788
01/3/1992,6642
12/27/1991,7186
12/20/1991,7447
12/13/1991,7344
12/6/1991,6828
11/29/1991,6769
11/22/1991,6652
11/15/1991,7369
11/8/1991,7379
11/1/1991,7159
10/25/1991,7421
10/18/1991,7396
10/11/1991,7506
10/4/1991,6949
09/27/1991,7088
09/20/1991,7391
09/13/1991,7402
09/6/1991,6993
08/30/1991,7427
08/23/1991,7505
08/16/1991,7401
08/9/1991,7584
08/2/1991,7605
07/26/1991,7501
07/19/1991,7380
07/12/1991,7327
07/5/1991,7961
06/28/1991,7543
06/21/1991,7720
06/14/1991,7651
06/7/1991,7220
05/31/1991,7287
05/24/1991,7396
05/17/1991,6899
05/10/1991,7185
05/3/1991,6976
04/26/1991,6956
04/19/1991,7045
04/12/1991,6916
04/5/1991,7503
03/29/1991,6777
03/22/1991,7328
03/15/1991,6947
03/8/1991,6875
03/1/1991,7224
02/22/1991,6582
02/15/1991,6433
02/8/1991,6621